project_type,location,total_area_sqft,num_floors,num_workers,planned_duration_days,material_quality,complexity_level,has_basement,weather_risk_zone,contractor_experience_years,soil_type,water_table_level,distance_from_city_km,site_accessibility,floor_height_ft,foundation_type,num_bathrooms,electrical_load_kw,finishing_level,site_topography,actual_cost,actual_duration_days
residential,Shimla,3400,3,26,208,standard,low,False,moderate,6,sandy,moderate,49,easy,10,raft,7,25,standard,flat,15246000.0,193
residential,Lucknow,1900,2,17,71,standard,medium,False,high,12,clay,high,3,moderate,11,pile,2,7,standard,steep_slope,11099000.0,62
industrial,Tirupati,7300,3,45,262,standard,medium,False,moderate,12,normal,deep,10,easy,12,isolated,3,263,standard,gentle_slope,22370000.0,254
residential,Vellore,1400,2,10,70,economy,low,False,moderate,9,normal,deep,45,difficult,10,isolated,4,7,basic,gentle_slope,3225000.0,57
residential,Noida,7700,4,76,534,standard,high,False,high,2,clay,moderate,0,easy,14,pile,14,47,premium,flat,101476000.0,562
residential,Thane,4500,4,39,299,economy,medium,False,high,2,marshy,shallow,26,difficult,12,pile,9,16,basic,gentle_slope,33737000.0,332
residential,Coimbatore,5300,4,47,320,premium,high,False,low,9,rocky,high,19,easy,10,raft,8,35,luxury,steep_slope,150157000.0,322
residential,Kochi,3100,2,24,144,premium,medium,False,high,5,sandy,high,16,easy,10,isolated,5,10,standard,gentle_slope,18964000.0,143
residential,Aligarh,5100,4,43,248,standard,medium,False,moderate,11,normal,deep,0,moderate,10,raft,10,21,basic,flat,16318000.0,243
residential,Jamshedpur,3100,2,23,189,economy,high,False,high,7,normal,moderate,40,moderate,10,pile,6,20,basic,gentle_slope,12675000.0,208
residential,Noida,4600,4,40,198,standard,high,False,high,8,rocky,shallow,43,difficult,10,strip,7,14,standard,flat,53177000.0,215
commercial,Kanpur,24500,3,162,730,standard,high,False,moderate,16,clay,high,4,easy,10,raft,30,428,premium,flat,201215000.0,715
residential,Raipur,1300,3,7,74,standard,low,False,moderate,7,rocky,shallow,51,remote,14,isolated,3,9,premium,flat,9786000.0,74
residential,Trichy,6900,1,48,359,standard,medium,False,moderate,2,normal,moderate,37,moderate,11,isolated,10,35,standard,gentle_slope,21012000.0,365
infrastructure,Ahmedabad,18300,1,78,730,premium,low,False,moderate,13,sandy,high,0,easy,16,raft,14,72,luxury,hilly,325311000.0,741
residential,Dehradun,2000,1,8,88,standard,low,False,high,6,clay,high,23,difficult,12,pile,2,13,basic,gentle_slope,9599000.0,110
residential,Chennai,1800,3,16,115,premium,medium,False,high,8,normal,deep,33,difficult,11,strip,2,9,premium,gentle_slope,14456000.0,103
commercial,Pune,43900,6,330,730,economy,low,True,moderate,7,clay,shallow,13,easy,14,strip,50,490,standard,flat,326781000.0,739
commercial,Bhubaneswar,32100,7,353,730,standard,medium,False,high,2,normal,deep,3,easy,14,pile,39,609,standard,gentle_slope,307454000.0,743
commercial,Kolkata,36200,8,278,730,economy,medium,False,high,3,normal,moderate,37,moderate,12,raft,47,567,basic,flat,226993000.0,721
residential,Jaipur,6400,4,56,329,premium,medium,False,high,7,rocky,deep,53,difficult,9,isolated,11,44,premium,flat,57017000.0,333
commercial,Salem,24500,7,247,730,standard,medium,False,low,2,normal,deep,0,easy,11,strip,30,284,premium,flat,195409000.0,733
industrial,Bareilly,39800,1,157,650,premium,high,False,moderate,9,rocky,moderate,50,easy,20,raft,21,1101,premium,gentle_slope,353120000.0,666
industrial,Jamshedpur,13000,1,42,216,economy,medium,False,moderate,7,normal,moderate,12,moderate,12,isolated,6,459,basic,hilly,34028000.0,220
commercial,Jaipur,3800,5,25,185,standard,medium,False,low,12,marshy,deep,0,moderate,10,pile,6,40,basic,gentle_slope,38812000.0,188
residential,Chandigarh,7400,4,49,529,standard,low,False,moderate,11,clay,deep,26,moderate,10.5,raft,14,32,standard,gentle_slope,44288000.0,537
residential,Kolkata,7400,3,72,293,premium,medium,False,high,8,rocky,deep,1,easy,10,isolated,14,39,luxury,steep_slope,94607000.0,279
commercial,Indore,31200,7,309,730,economy,medium,True,moderate,5,marshy,moderate,37,moderate,16,pile,38,349,standard,flat,334353000.0,731
commercial,Aligarh,9100,6,52,377,premium,low,False,moderate,12,clay,moderate,0,moderate,16,strip,11,137,luxury,flat,133160000.0,370
infrastructure,Coimbatore,6600,1,26,176,standard,high,False,low,13,sandy,shallow,65,difficult,11,isolated,3,23,standard,flat,47002000.0,169
commercial,Tirupati,5000,7,47,333,economy,low,True,moderate,1,sandy,shallow,27,moderate,12,strip,6,78,basic,flat,28783000.0,346
commercial,Madurai,35600,3,265,730,standard,low,True,moderate,6,clay,high,4,moderate,12,pile,46,584,basic,steep_slope,320017000.0,757
residential,Bareilly,1200,4,7,81,economy,medium,False,moderate,10,rocky,deep,35,difficult,10.5,strip,3,9,standard,steep_slope,5703000.0,74
residential,Bareilly,3200,3,23,176,standard,medium,False,low,4,sandy,moderate,0,easy,14,strip,6,18,premium,gentle_slope,14730000.0,176
infrastructure,Delhi,2500,2,12,90,economy,low,False,high,9,sandy,moderate,13,easy,10.5,raft,3,13,basic,flat,11582000.0,90
residential,Bhubaneswar,6200,4,50,367,premium,medium,False,high,12,clay,moderate,0,moderate,12,pile,12,48,premium,steep_slope,71713000.0,358
residential,Pondicherry,7200,3,45,319,economy,medium,False,low,12,clay,deep,48,difficult,10.5,pile,14,31,basic,flat,31118000.0,307
residential,Tirupati,7300,2,50,353,standard,medium,False,moderate,6,clay,shallow,21,difficult,11,raft,13,44,standard,steep_slope,47969000.0,362
commercial,Kolkata,18900,3,93,504,premium,low,False,high,1,rocky,moderate,24,difficult,11,raft,23,168,luxury,flat,442141000.0,522
infrastructure,Kolkata,13500,2,81,614,standard,low,False,high,6,sandy,moderate,32,easy,10.5,isolated,10,28,standard,hilly,86657000.0,614
infrastructure,Thane,13500,2,120,394,standard,high,False,high,6,rocky,deep,17,easy,16,raft,8,37,standard,gentle_slope,161549000.0,408
commercial,Indore,32500,7,307,730,premium,medium,False,high,13,rocky,deep,37,moderate,11,raft,42,576,luxury,gentle_slope,826670000.0,734
residential,Bareilly,6100,1,28,233,standard,low,False,moderate,12,sandy,moderate,16,easy,10,isolated,11,33,standard,gentle_slope,18722000.0,218
industrial,Mangalore,47000,3,156,730,premium,medium,False,high,9,marshy,moderate,0,easy,12,strip,23,792,premium,gentle_slope,497119000.0,734
residential,Bangalore,5700,2,36,273,standard,low,False,low,2,rocky,shallow,5,easy,10.5,isolated,8,21,basic,steep_slope,24843000.0,281
residential,Varanasi,2600,2,13,123,economy,medium,False,moderate,7,rocky,shallow,18,moderate,10.5,isolated,4,13,basic,gentle_slope,7402000.0,143
residential,Kolkata,4500,1,28,222,standard,medium,False,high,5,normal,high,8,moderate,12,isolated,6,22,standard,flat,17002000.0,230
residential,Aligarh,3700,2,28,212,standard,high,False,moderate,12,marshy,deep,0,moderate,9,raft,6,18,premium,flat,21191000.0,216
industrial,Aligarh,33200,2,119,612,standard,low,False,moderate,2,clay,moderate,10,easy,14,strip,17,776,standard,gentle_slope,116912000.0,641
commercial,Meerut,26400,7,199,730,standard,medium,False,moderate,5,sandy,high,0,moderate,14,raft,33,243,basic,gentle_slope,183746000.0,739
residential,Srinagar,4000,3,32,184,economy,low,False,high,10,normal,high,8,easy,9,strip,5,23,basic,hilly,12919000.0,192
residential,Mysore,6100,3,41,388,standard,low,False,moderate,11,sandy,shallow,18,moderate,10,raft,12,41,standard,flat,25010000.0,377
residential,Goa,1800,2,13,68,standard,medium,False,high,16,normal,deep,21,easy,10,isolated,4,14,premium,flat,8859000.0,66
industrial,Hubli,9700,3,36,339,economy,high,True,low,8,normal,high,0,easy,18,strip,3,308,standard,flat,32617000.0,348
commercial,Thiruvananthapuram,28000,1,126,730,economy,medium,False,high,13,normal,moderate,1,easy,10,isolated,37,328,basic,flat,63020000.0,729
commercial,Patna,36300,2,139,730,economy,medium,True,high,11,marshy,deep,0,moderate,11,pile,47,513,basic,gentle_slope,164888000.0,760
commercial,Mumbai,32800,2,150,730,economy,medium,False,high,1,normal,shallow,56,difficult,12,raft,41,391,basic,gentle_slope,200164000.0,735
residential,Aurangabad,7800,3,53,528,standard,high,False,moderate,2,normal,high,25,difficult,9,strip,15,38,standard,steep_slope,57497000.0,537
industrial,Mangalore,10800,1,47,302,premium,medium,False,moderate,8,sandy,deep,38,moderate,16,strip,5,313,premium,steep_slope,97980000.0,314
residential,Tirupati,3100,1,13,105,economy,high,False,moderate,7,sandy,deep,0,easy,11,isolated,5,17,standard,flat,8215000.0,113
residential,Jabalpur,5900,3,57,234,standard,low,False,moderate,14,normal,moderate,28,difficult,10.5,strip,11,18,premium,flat,28016000.0,219
infrastructure,Thiruvananthapuram,2500,2,17,114,standard,high,False,high,7,marshy,deep,8,easy,10.5,pile,2,5,standard,flat,26796000.0,125
residential,Rajkot,5300,3,44,281,economy,medium,False,moderate,2,clay,moderate,14,easy,14,raft,10,28,basic,gentle_slope,17006000.0,290
residential,Jabalpur,5700,2,49,299,economy,medium,False,moderate,11,normal,high,0,easy,10.5,raft,11,24,standard,gentle_slope,18585000.0,290
residential,Kanpur,4100,2,28,210,standard,low,False,moderate,11,clay,moderate,50,moderate,10,raft,6,19,standard,gentle_slope,17329000.0,204
residential,Gurgaon,900,1,5,60,economy,medium,False,high,8,clay,deep,57,remote,11,raft,1,5,standard,gentle_slope,4526000.0,62
residential,Thane,4900,1,24,248,standard,low,False,high,10,sandy,high,0,difficult,10.5,isolated,7,19,premium,flat,27911000.0,266
residential,Ahmedabad,1500,2,9,80,standard,low,False,moderate,8,normal,deep,0,moderate,11,isolated,1,5,standard,flat,5254000.0,67
industrial,Patna,12500,2,40,269,premium,high,False,moderate,14,clay,high,54,difficult,16,pile,8,512,luxury,gentle_slope,315688000.0,303
infrastructure,Amritsar,18500,1,100,641,standard,medium,False,moderate,6,rocky,deep,23,difficult,10,isolated,14,88,standard,gentle_slope,111634000.0,650
commercial,Jamshedpur,7400,3,45,205,standard,medium,False,moderate,6,rocky,deep,0,easy,11,isolated,11,96,standard,hilly,55178000.0,196
commercial,Thrissur,48800,5,284,730,premium,medium,True,high,17,normal,moderate,35,difficult,12,pile,50,752,luxury,gentle_slope,1625968000.0,757
residential,Mysore,6300,3,33,419,economy,high,False,low,9,normal,moderate,0,easy,10.5,isolated,10,37,basic,hilly,18662000.0,437
commercial,Thrissur,24200,1,83,730,standard,medium,False,high,14,rocky,shallow,29,easy,11,isolated,29,301,premium,flat,185494000.0,728
residential,Faridabad,3600,1,24,116,economy,medium,False,high,2,normal,shallow,9,easy,9,raft,7,22,standard,gentle_slope,12234000.0,135
commercial,Surat,40800,4,272,730,economy,low,False,high,9,sandy,shallow,47,easy,14,raft,50,662,basic,flat,167195000.0,738
industrial,Hyderabad,40500,3,135,730,economy,low,False,moderate,11,marshy,deep,0,easy,20,strip,20,2004,basic,hilly,163460000.0,733
commercial,Bhubaneswar,25000,5,177,730,economy,medium,False,high,9,normal,high,35,moderate,10,strip,30,231,standard,flat,104527000.0,715
commercial,Udaipur,43000,2,265,730,economy,low,True,low,6,rocky,moderate,0,moderate,14,strip,50,404,basic,gentle_slope,150852000.0,731
infrastructure,Goa,21300,2,101,730,standard,medium,False,high,4,sandy,shallow,1,moderate,10,isolated,16,107,basic,steep_slope,114084000.0,748
residential,Jaipur,3400,1,19,183,economy,medium,False,high,5,rocky,deep,20,moderate,11,strip,7,25,basic,flat,9963000.0,186
industrial,Gandhinagar,8400,3,44,255,standard,medium,False,moderate,11,marshy,shallow,28,easy,16,pile,6,161,premium,flat,106690000.0,256
infrastructure,Dehradun,20600,1,156,578,economy,medium,False,high,7,normal,shallow,23,difficult,10.5,raft,12,48,standard,steep_slope,132662000.0,601
infrastructure,Mysore,3600,2,21,173,economy,low,False,low,5,rocky,high,6,easy,11,isolated,4,8,standard,flat,16858000.0,174
commercial,Gurgaon,46800,3,213,730,economy,low,False,high,8,normal,high,16,easy,12,strip,50,749,basic,steep_slope,206834000.0,736
infrastructure,Coimbatore,17900,1,112,476,economy,medium,False,low,3,normal,high,28,moderate,12,isolated,10,64,standard,flat,56505000.0,482
commercial,Aurangabad,8000,2,50,255,premium,medium,False,moderate,13,normal,deep,10,easy,11,strip,9,147,luxury,flat,71645000.0,255
residential,Mangalore,1600,2,9,86,premium,medium,False,high,7,sandy,deep,15,moderate,14,isolated,4,10,premium,gentle_slope,12893000.0,71
commercial,Jaipur,18300,4,79,730,standard,low,False,high,11,clay,shallow,23,moderate,11,pile,22,287,premium,flat,211715000.0,715
infrastructure,Delhi,24900,2,209,730,premium,high,False,high,2,clay,shallow,2,easy,11,pile,17,147,luxury,flat,843276000.0,742
commercial,Kochi,25000,8,250,730,premium,high,False,high,2,marshy,high,5,moderate,10,pile,33,445,luxury,steep_slope,1461569000.0,761
industrial,Indore,65100,2,249,730,standard,low,False,high,9,normal,high,12,easy,16,isolated,33,1569,standard,flat,299099000.0,743
commercial,Thiruvananthapuram,27800,6,180,730,standard,medium,False,high,8,normal,moderate,30,moderate,16,raft,35,516,standard,gentle_slope,217595000.0,760
commercial,Udaipur,15300,8,104,730,standard,low,False,low,9,normal,moderate,0,moderate,14,pile,18,301,standard,steep_slope,155725000.0,738
residential,Patna,1000,1,5,60,standard,medium,False,high,6,normal,shallow,29,moderate,14,strip,1,3,premium,flat,4818000.0,62
infrastructure,Warangal,21600,1,105,730,economy,low,False,moderate,6,rocky,shallow,29,easy,10,isolated,13,65,basic,gentle_slope,67301000.0,736
residential,Rajkot,5500,3,39,236,economy,high,False,moderate,2,normal,shallow,28,moderate,16,strip,8,32,basic,flat,20585000.0,244
residential,Vijayawada,7800,2,59,294,standard,low,False,moderate,4,clay,shallow,31,moderate,10,raft,15,55,standard,steep_slope,35731000.0,306
commercial,Aligarh,34700,6,236,730,standard,medium,False,moderate,11,normal,high,23,difficult,11,strip,43,424,standard,flat,239769000.0,716
infrastructure,Warangal,10700,2,82,325,standard,medium,False,moderate,13,normal,deep,26,easy,18,strip,6,36,premium,flat,76330000.0,315
commercial,Raipur,12800,4,110,665,standard,medium,False,low,12,sandy,moderate,14,easy,14,strip,16,192,premium,flat,78387000.0,656
commercial,Aurangabad,12600,2,65,383,standard,high,False,moderate,13,clay,high,0,easy,14,strip,15,195,standard,flat,71766000.0,368
residential,Dehradun,4600,2,24,207,standard,low,False,high,17,clay,high,36,difficult,10,strip,6,28,standard,flat,21837000.0,192
residential,Dehradun,3500,2,29,174,economy,low,False,high,10,clay,moderate,2,easy,10.5,pile,7,12,standard,steep_slope,17148000.0,169
industrial,Srinagar,51700,3,158,730,standard,low,True,high,4,normal,moderate,48,easy,16,isolated,24,1832,premium,gentle_slope,406316000.0,729
commercial,Nashik,18600,4,150,730,standard,medium,False,moderate,2,normal,deep,0,easy,14,isolated,23,363,premium,flat,121749000.0,745
industrial,Indore,52000,3,244,730,standard,high,False,high,7,normal,moderate,6,easy,16,strip,25,2152,standard,gentle_slope,248344000.0,741
commercial,Patna,23500,5,145,730,premium,medium,False,high,8,sandy,high,0,easy,11,raft,28,409,premium,gentle_slope,327054000.0,764
infrastructure,Vijayawada,9400,1,43,338,premium,medium,True,moderate,3,rocky,deep,0,moderate,9,isolated,5,33,luxury,gentle_slope,152252000.0,342
infrastructure,Hyderabad,21600,2,103,610,economy,medium,False,moderate,13,normal,moderate,5,easy,11,isolated,13,60,basic,gentle_slope,66286000.0,595
residential,Kochi,6300,2,57,285,economy,medium,False,high,12,normal,high,23,moderate,18,isolated,10,19,basic,steep_slope,23595000.0,291
residential,Gurgaon,4200,2,33,171,standard,low,False,high,1,clay,moderate,16,difficult,14,raft,7,27,premium,flat,34051000.0,171
residential,Jaipur,6400,2,40,331,standard,medium,False,high,8,normal,shallow,23,easy,10.5,isolated,9,39,basic,flat,21201000.0,322
residential,Udaipur,1900,3,14,85,premium,low,False,low,8,sandy,deep,24,easy,10,raft,3,10,premium,gentle_slope,11623000.0,85
residential,Madurai,7300,3,42,471,premium,high,False,moderate,10,marshy,deep,3,moderate,12,pile,13,45,luxury,flat,127480000.0,482
commercial,Lucknow,46300,5,336,730,economy,medium,True,moderate,5,marshy,shallow,0,difficult,12,raft,50,644,standard,gentle_slope,366208000.0,741
infrastructure,Mangalore,12400,1,55,358,standard,high,False,high,5,rocky,moderate,0,moderate,16,strip,8,43,premium,flat,128820000.0,343
residential,Agra,5700,3,48,229,standard,medium,False,moderate,15,normal,deep,0,easy,12,isolated,11,30,standard,gentle_slope,18657000.0,229
residential,Agra,5500,2,26,204,premium,medium,False,low,9,normal,shallow,11,easy,10,isolated,10,43,luxury,flat,49069000.0,216
residential,Goa,4800,3,46,292,premium,high,False,high,7,normal,moderate,18,easy,14,strip,7,32,premium,flat,42648000.0,292
commercial,Bangalore,39600,7,319,730,premium,high,False,low,14,marshy,high,33,moderate,11,raft,49,757,standard,gentle_slope,956344000.0,733
residential,Udaipur,6800,1,47,325,standard,high,False,low,9,marshy,deep,10,easy,10.5,pile,12,30,standard,flat,39822000.0,319
infrastructure,Aligarh,5200,2,47,150,standard,low,False,moderate,7,normal,deep,0,easy,10,isolated,2,27,standard,gentle_slope,22088000.0,144
commercial,Trichy,32600,5,222,730,economy,medium,False,moderate,8,normal,deep,11,easy,12,pile,41,449,standard,gentle_slope,138552000.0,735
residential,Thane,5300,3,35,250,economy,high,False,high,7,clay,deep,8,easy,10.5,strip,9,17,basic,steep_slope,25455000.0,248
industrial,Vadodara,40800,2,138,730,standard,high,False,moderate,5,normal,shallow,31,moderate,18,pile,19,762,standard,hilly,364976000.0,785
commercial,Tirupati,32500,5,236,730,standard,low,False,moderate,6,sandy,deep,0,moderate,11,pile,42,533,premium,flat,230398000.0,747
residential,Srinagar,7900,1,47,384,economy,medium,False,moderate,9,sandy,shallow,5,moderate,10.5,isolated,15,23,basic,gentle_slope,21139000.0,377
commercial,Vijayawada,9300,1,48,315,economy,high,False,moderate,13,normal,moderate,0,difficult,11,strip,13,152,basic,gentle_slope,32175000.0,320
industrial,Varanasi,25500,1,90,508,economy,high,False,moderate,5,clay,deep,0,moderate,18,raft,12,1152,standard,flat,99119000.0,509
residential,Visakhapatnam,6800,2,59,241,premium,high,False,high,5,normal,high,6,moderate,9,isolated,10,49,luxury,flat,99171000.0,236
infrastructure,Mumbai,14700,1,90,601,economy,high,False,high,9,clay,deep,0,easy,10,pile,8,50,basic,gentle_slope,94010000.0,619
residential,Nashik,2800,4,24,127,economy,medium,False,moderate,1,clay,moderate,1,moderate,10.5,raft,4,19,basic,flat,10046000.0,137
infrastructure,Bangalore,5200,2,47,213,standard,medium,False,low,4,sandy,moderate,3,easy,16,strip,5,12,basic,gentle_slope,32413000.0,211
residential,Agra,7600,1,53,415,standard,low,False,high,4,clay,deep,0,difficult,9,raft,13,36,standard,gentle_slope,26739000.0,411
residential,Visakhapatnam,2900,4,23,153,premium,medium,False,high,2,normal,shallow,2,easy,10.5,isolated,4,17,premium,flat,24990000.0,169
residential,Pondicherry,4500,4,26,273,economy,medium,False,high,8,clay,deep,3,easy,11,raft,8,32,standard,flat,14860000.0,269
commercial,Salem,11700,5,64,550,standard,high,False,low,6,clay,deep,0,difficult,12,raft,16,171,standard,gentle_slope,123810000.0,566
residential,Delhi,1400,3,9,74,standard,medium,False,high,10,rocky,deep,6,easy,10.5,isolated,2,8,standard,flat,6043000.0,95
commercial,Pondicherry,39400,1,161,730,economy,medium,False,high,5,sandy,deep,43,difficult,11,pile,50,426,standard,flat,189304000.0,746
commercial,Visakhapatnam,41500,4,279,730,premium,medium,False,high,16,sandy,moderate,21,moderate,14,strip,50,766,premium,flat,531448000.0,715
commercial,Jaipur,44800,3,287,730,economy,high,False,high,9,clay,high,0,easy,11,strip,50,528,basic,flat,228967000.0,756
industrial,Vijayawada,57500,1,140,730,economy,high,False,moderate,9,normal,high,17,moderate,14,strip,27,1710,standard,gentle_slope,218938000.0,742
residential,Pune,2400,2,16,101,standard,medium,False,moderate,6,normal,moderate,7,difficult,14,isolated,4,15,standard,hilly,14849000.0,105
industrial,Thanjavur,27900,1,136,682,standard,high,True,moderate,7,clay,deep,48,moderate,14,strip,14,1392,standard,flat,103845000.0,716
residential,Thane,6800,2,37,283,premium,medium,False,high,7,clay,shallow,11,easy,12,raft,13,33,luxury,flat,110065000.0,290
residential,Vijayawada,6800,2,60,392,standard,high,False,moderate,7,normal,moderate,42,easy,9,isolated,11,21,premium,flat,45943000.0,380
residential,Indore,4800,1,37,251,standard,high,False,moderate,4,rocky,deep,4,easy,12,strip,8,28,standard,gentle_slope,25185000.0,261
residential,Ahmedabad,2900,1,15,109,standard,high,False,moderate,3,marshy,shallow,64,moderate,10,strip,6,22,standard,flat,18995000.0,123
infrastructure,Meerut,7300,1,55,222,economy,low,False,moderate,13,clay,deep,22,moderate,9,pile,3,19,standard,steep_slope,30371000.0,221
residential,Ranchi,4600,3,45,243,standard,medium,False,moderate,10,rocky,shallow,0,easy,16,isolated,6,28,standard,steep_slope,27793000.0,239
residential,Ahmedabad,3600,1,25,153,economy,medium,False,moderate,8,normal,moderate,10,easy,10,isolated,7,20,basic,gentle_slope,7482000.0,141
commercial,Raipur,32400,3,165,730,standard,medium,False,moderate,13,normal,moderate,23,difficult,11,isolated,41,478,standard,steep_slope,185622000.0,722
infrastructure,Varanasi,15000,1,89,416,standard,medium,False,moderate,10,normal,deep,13,moderate,10,strip,9,84,standard,flat,76379000.0,410
industrial,Jodhpur,26500,3,83,730,economy,high,False,moderate,12,clay,deep,42,difficult,16,pile,14,662,standard,gentle_slope,152630000.0,735
residential,Shimla,4600,3,28,208,standard,medium,True,high,6,marshy,moderate,0,moderate,11,pile,9,26,premium,gentle_slope,58727000.0,221
residential,Nashik,1800,1,9,60,economy,medium,False,moderate,7,rocky,high,0,easy,9,isolated,5,9,standard,gentle_slope,5399000.0,69
residential,Vijayawada,3900,3,20,181,economy,medium,False,moderate,5,rocky,deep,12,easy,9,isolated,5,26,standard,flat,14020000.0,187
infrastructure,Udaipur,13800,1,109,586,standard,medium,False,low,1,sandy,high,30,moderate,10,strip,10,63,basic,flat,84415000.0,591
residential,Visakhapatnam,1600,4,11,81,standard,high,False,high,6,normal,shallow,7,moderate,16,raft,4,5,standard,hilly,11345000.0,91
residential,Salem,1800,3,10,100,standard,medium,True,low,10,clay,high,1,easy,10,raft,5,12,standard,flat,10709000.0,104
residential,Meerut,2800,4,21,126,standard,medium,True,moderate,3,clay,deep,0,easy,10,pile,5,11,basic,hilly,17619000.0,140
industrial,Patna,30900,2,106,730,standard,medium,False,high,15,normal,moderate,0,easy,14,isolated,14,693,standard,gentle_slope,86636000.0,741
residential,Jabalpur,2000,1,14,62,economy,medium,False,moderate,13,rocky,deep,0,moderate,10,strip,5,10,standard,flat,4965000.0,65
industrial,Amritsar,32400,3,165,730,premium,medium,False,high,5,rocky,shallow,16,easy,14,isolated,18,1519,premium,flat,264378000.0,742
residential,Aurangabad,7600,3,58,455,economy,medium,False,moderate,9,clay,high,0,difficult,10.5,pile,13,33,standard,gentle_slope,34625000.0,463
residential,Srinagar,7600,1,30,327,economy,low,False,high,3,clay,moderate,35,moderate,10,pile,14,32,standard,hilly,35947000.0,329
industrial,Aligarh,60800,3,165,730,economy,medium,False,low,10,rocky,shallow,10,easy,14,isolated,29,2656,standard,flat,147639000.0,752
infrastructure,Navi Mumbai,16900,1,93,465,standard,low,False,high,8,normal,shallow,0,easy,12,isolated,11,99,standard,flat,100262000.0,464
infrastructure,Raipur,11300,2,74,318,premium,low,False,moderate,7,normal,high,0,easy,10,strip,8,43,premium,flat,101058000.0,324
commercial,Udaipur,45400,8,455,730,standard,medium,False,low,3,normal,moderate,47,difficult,16,raft,50,428,standard,flat,457736000.0,731
residential,Udaipur,3800,4,43,182,economy,medium,False,moderate,10,sandy,moderate,20,moderate,11,isolated,6,13,standard,flat,11424000.0,167
commercial,Guntur,15900,3,93,559,standard,medium,False,moderate,11,normal,deep,26,difficult,11,strip,20,132,basic,hilly,89087000.0,561
commercial,Delhi,43900,1,224,730,economy,high,False,high,12,normal,moderate,19,moderate,14,strip,50,581,standard,flat,214133000.0,742
infrastructure,Thane,3200,1,20,82,premium,medium,False,high,1,normal,high,10,easy,10,isolated,4,17,luxury,flat,62448000.0,82
commercial,Patna,29600,7,288,730,standard,high,False,high,4,marshy,deep,0,moderate,12,strip,37,244,standard,gentle_slope,381388000.0,742
residential,Guwahati,7200,1,40,324,standard,low,False,high,12,sandy,deep,33,difficult,10.5,raft,12,42,standard,flat,24774000.0,317
residential,Nagpur,5200,2,44,310,economy,low,False,moderate,5,clay,shallow,75,difficult,11,pile,10,18,basic,flat,16984000.0,320
commercial,Ranchi,15100,3,70,696,standard,high,False,moderate,1,normal,moderate,33,moderate,11,strip,17,270,standard,gentle_slope,87745000.0,722
infrastructure,Indore,2200,2,17,75,premium,low,False,moderate,4,rocky,deep,34,moderate,10,isolated,1,5,luxury,flat,35285000.0,64
infrastructure,Bhopal,13800,2,121,608,premium,medium,False,moderate,11,rocky,moderate,0,easy,14,strip,9,61,standard,gentle_slope,115904000.0,593
residential,Guntur,6500,3,63,277,standard,high,False,moderate,8,rocky,moderate,27,moderate,12,raft,12,41,standard,flat,43888000.0,283
commercial,Salem,27500,8,258,730,standard,medium,True,low,7,rocky,high,15,difficult,11,pile,36,532,basic,gentle_slope,460691000.0,762
residential,Vijayawada,6300,1,42,308,standard,high,False,moderate,10,clay,moderate,0,easy,11,pile,10,20,standard,flat,30073000.0,293
industrial,Jodhpur,49000,2,167,730,economy,medium,False,moderate,7,sandy,moderate,24,difficult,14,isolated,26,857,basic,hilly,167795000.0,745
residential,Aurangabad,1700,3,14,79,standard,low,False,moderate,4,normal,high,28,moderate,9,strip,3,8,standard,gentle_slope,6972000.0,83
residential,Kochi,7900,4,59,390,standard,high,False,high,6,normal,shallow,0,easy,11,strip,14,52,basic,gentle_slope,43629000.0,408
residential,Goa,2400,3,23,151,economy,medium,False,high,1,rocky,high,22,easy,10,isolated,4,15,basic,hilly,11422000.0,154
industrial,Rajkot,13500,2,66,253,premium,medium,False,moderate,5,sandy,moderate,29,moderate,14,strip,5,665,luxury,flat,162116000.0,247
residential,Guwahati,5700,1,36,220,standard,medium,False,high,5,normal,deep,0,moderate,10.5,isolated,11,41,standard,flat,16874000.0,210
commercial,Ludhiana,35300,5,220,730,standard,medium,False,moderate,8,clay,deep,13,moderate,16,raft,46,647,basic,flat,249374000.0,728
commercial,Pondicherry,14100,2,78,443,economy,low,False,high,15,normal,moderate,20,easy,14,isolated,16,200,standard,flat,41244000.0,431
residential,Kolkata,6900,2,47,408,standard,high,False,high,6,normal,moderate,20,easy,11,strip,10,27,standard,flat,29460000.0,414
residential,Faridabad,6500,1,44,207,standard,low,False,high,1,sandy,deep,12,easy,9,isolated,11,20,standard,flat,21785000.0,197
residential,Raipur,4100,4,37,201,premium,low,False,moderate,9,rocky,moderate,0,easy,10,isolated,5,23,premium,hilly,34093000.0,198
infrastructure,Dehradun,12800,1,70,537,economy,medium,False,high,1,marshy,deep,25,moderate,12,raft,9,32,standard,flat,72149000.0,574
commercial,Coimbatore,31900,5,212,730,economy,low,False,low,12,marshy,deep,39,easy,10,raft,41,560,basic,steep_slope,178838000.0,730
industrial,Udaipur,75200,1,325,730,economy,medium,False,low,6,normal,shallow,14,easy,12,strip,38,1906,basic,gentle_slope,159079000.0,732
residential,Bhubaneswar,5400,2,32,302,standard,medium,True,high,7,marshy,shallow,11,difficult,11,pile,8,29,premium,flat,52739000.0,326
industrial,Madurai,33500,3,191,730,standard,high,False,moderate,8,normal,deep,0,moderate,20,strip,16,1246,standard,flat,159833000.0,721
residential,Amritsar,6200,2,51,365,standard,medium,False,low,10,clay,deep,14,moderate,14,pile,12,32,standard,flat,36271000.0,362
